window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
0,200,4121.92063829,0,6.96866357447,16000.0000815,694222.79703,dropped_horizon_backward,656000,16000,16000,16000,16000,16000,16000,16000,16000,16000,693667.285366,16000.8873103,16000.008214,16000.0080953,16018.9801137,16003.4136261,16000.2899213,233102.313252,683710.581111,17576.9463254,0.970711733357,-2.17014690274,-3.00665042166,-3.38090702169,-0.000509751643748,0.000177565876395,-0.00640363050917,0.0237314011842,9.41830402373e-06,-0.010129741673
1,220,5941.1647638,0,6.9714340719,16000.0003552,694878.626614,dropped_horizon_backward,693667.285366,16000.8873103,16000.008214,16000.0080953,16018.9801137,16003.4136261,16000.2899213,233102.313252,683710.581111,17576.9463254,694071.782798,16061.1093831,16000.1147944,16000.5059701,16602.982155,16096.7590339,16008.7843109,234609.675042,693537.642198,27764.1710336,0.970910476403,-2.16688362621,-3.00667778339,-3.38061611984,-0.00041735056704,2.8398348089e-06,-0.00740304936207,0.0196751808255,-8.50826360824e-05,-0.0651655320999
2,240,8426.32416165,0,6.32017635422,16000.0036313,4791192.85514,dropped_horizon_backward,694071.782798,16061.1093831,16000.1147944,16000.5059701,16602.982155,16096.7590339,16008.7843109,234609.675042,693537.642198,27764.1710336,1128637.72614,17094.3903681,16000.1486096,16009.9388363,29654.1672825,18231.897312,16144.8022507,2522596.25301,4790344.60417,116854.042439,0.921873555959,-2.18199972686,-3.00668395678,-3.38203658952,0.00018500826974,-0.00508708716789,-0.00522116411026,0.0381863304661,0.000157997983902,-0.105014577666
3,260,2407.92479075,0,6.46854670464,16000.0065976,5662243.21481,dropped_horizon_backward,1128637.72614,17094.3903681,16000.1486096,16009.9388363,29654.1672825,18231.897312,16144.8022507,2522596.25301,4790344.60417,116854.042439,1241560.88258,17145.9090922,16000.1501426,16010.3463606,30245.478623,18317.7999137,16162.7309697,3024859.29345,5661621.18141,118662.200721,0.933475731335,-2.18859338917,-3.00668317385,-3.38265261296,0.000876340440005,-0.0051620714496,-0.00376938333395,0.0406883192379,0.000153267615558,-0.110384635474
4,280,2858.3487524,0,6.5138649824,16000.0066809,6520524.4519,dropped_horizon_backward,1241560.88258,17145.9090922,16000.1501426,16010.3463606,30245.478623,18317.7999137,16162.7309697,3024859.29345,5661621.18141,118662.200721,1350135.44032,17148.5369672,16000.150225,16010.3671389,30266.059738,18324.1083518,16163.5748097,3528901.54203,6520040.1764,118936.511945,0.936966489672,-2.18601797025,-3.00668428234,-3.38240868927,0.000637925851663,-0.0051111479851,-0.00415368942926,0.038628246836,0.000147683339245,-0.107404649331
5,300,3600.44094364,0,6.54917287098,16000.0076453,7439807.89415,dropped_horizon_backward,1350135.44032,17148.5369672,16000.150225,16010.3671389,30266.059738,18324.1083518,16163.5748097,3528901.54203,6520040.1764,118936.511945,1465280.37967,17149.0962278,16000.1539899,16010.3722149,30271.9503614,18327.5810149,16167.6869205,4079140.28769,7439357.58068,118986.589252,0.939669381217,-2.18545465255,-3.00668630557,-3.38235091355,0.000729624002761,-0.00503208405535,-0.00503409461784,0.036090787398,0.000127069018407,-0.107470899961
6,320,3525.6033449,0,6.58487414593,16000.0077633,8373728.01699,dropped_horizon_backward,1465280.37967,17149.0962278,16000.1539899,16010.3722149,30271.9503614,18327.5810149,16167.6869205,4079140.28769,7439357.58068,118986.589252,1581883.05711,17149.4920067,16000.1571263,16010.3757843,30275.8838729,18328.792259,16168.3551456,4637029.75115,8373303.93301,119040.056282,0.942387611388,-2.18483980611,-3.00668836461,-3.38228891181,0.000736785703296,-0.00498416935781,-0.00518782123102,0.034037723399,0.000123878825362,-0.107294031173
7,340,3235.41034409,0,6.61851784735,16000.0078937,9308388.70912,dropped_horizon_backward,1581883.05711,17149.4920067,16000.1571263,16010.3757843,30275.8838729,18328.792259,16168.3551456,4637029.75115,8373303.93301,119040.056282,1698747.32342,17149.741071,16000.1586046,16010.3779833,30278.368321,18329.7564578,16169.1322551,5194039.20377,9307978.41323,119130.136549,0.944935727377,-2.18411705858,-3.00668949763,-3.38221758979,0.000670513235783,-0.00497139771231,-0.00534915827812,0.0323557530951,0.000121157575796,-0.106777099638
8,360,2710.20814356,0,6.64997457288,16000.0126344,10237533.6224,dropped_horizon_backward,1698747.32342,17149.741071,16000.1586046,16010.3779833,30278.368321,18329.7564578,16169.1322551,5194039.20377,9307978.41323,119130.136549,1815034.11308,17149.869621,16000.4200236,16010.4386637,30292.4526856,18334.0761151,16174.9490745,5745399.87104,10237080.4095,119900.610877,0.947306515517,-2.18303459128,-3.00666129254,-3.38211108939,-0.000487748019937,-0.00582447440234,-0.00536196721644,0.0309408580173,0.000141690600487,-0.105499835739
9,380,2040.9998386,0,6.65514779172,16000.2663527,13175865.0817,dropped_horizon_backward,1815034.11308,17149.869621,16000.4200236,16010.4386637,30292.4526856,18334.0761151,16174.9490745,5745399.87104,10237080.4095,119900.610877,2062747.4904,17156.3234291,17908.9193609,16463.2719986,117366.732979,43990.6233874,60154.200543,6890087.9721,13097285.1696,3241566.04803,0.947695329611,-2.18990861671,-2.97824933846,-3.36834684447,-0.00736710022072,-0.0264750323045,0.0325376022414,0.0297671482749,0.00406412661202,-0.121275509444
