window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,information_forgetting_factor,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
0,10000,52024.8771304,0,12.4915054621,16000.3419259,18773506.5432,dropped_horizon_backward,1,656000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4013215.79066,16081.3337766,16015.836272,16003.2031066,18606.6494069,16475.6835637,16478.1567533,10016358.9964,18749367.1282,64218.8057009,1.26252442513,-2.16897935149,-3.01014986669,-3.40564230193,-0.0106870066292,-0.00485124132464,-0.00473304549575,0.0394983069874,0.0189312316629,0.117408010647
1,10100,26110.7122209,0,13.3000711423,16001.5113107,40911505.4597,dropped_horizon_backward,1,4013215.79066,16081.3337766,16015.836272,16003.2031066,18606.6494069,16475.6835637,16478.1567533,10016358.9964,18749367.1282,64218.8057009,7750798.54286,16178.2573455,16031.0392365,16006.7644565,20256.6207274,23627.3719932,18615.6186983,21433268.5703,40843564.5133,121023.408836,1.29388469213,-2.16509327999,-3.0076094256,-3.40420300916,-0.0131839578154,-0.0212997312831,0.00497865446208,0.0315391510238,0.0167399498626,0.0401787965599
2,10200,25187.2035209,0,13.4382506645,16003.0814791,63131629.6329,dropped_horizon_backward,1,7750798.54286,16178.2573455,16031.0392365,16006.7644565,20256.6207274,23627.3719932,18615.6186983,21433268.5703,40843564.5133,121023.408836,11018917.1101,16271.8548706,16047.8164422,16010.8383282,22293.1550168,34805.2130378,23060.6026595,31981455.9141,63042655.6869,170322.52314,1.29905258387,-2.16301851246,-3.00768589688,-3.40339438861,-0.0252595378681,-0.0537153374713,0.0448619261851,0.0302584879018,0.0176311875724,0.0632370189044
3,10300,20872.3183395,0,13.5975905908,16005.979719,83567353.8778,dropped_horizon_backward,1,11018917.1101,16271.8548706,16047.8164422,16010.8383282,22293.1550168,34805.2130378,23060.6026595,31981455.9141,63042655.6869,170322.52314,14536743.5062,16375.1891282,16061.3110874,16014.9361399,23843.1736215,41995.809345,27105.2327539,42656781.3643,83485804.062,198447.411582,1.3049463073,-2.1650912603,-3.00936775053,-3.4032787599,-0.0258942892383,-0.0483791487126,0.0441979381577,0.0300965310486,0.0176003391172,0.0890722178628
4,10400,22132.1797294,0,13.7035251866,16007.8169083,104942059.286,dropped_horizon_backward,1,14536743.5062,16375.1891282,16061.3110874,16014.9361399,23843.1736215,41995.809345,27105.2327539,42656781.3643,83485804.062,198447.411582,18275878.628,16481.778118,16069.1561405,16017.8937805,25267.1408663,49880.1687226,32133.5494965,53943173.2401,104870969.36,229077.965116,1.30882655631,-2.15894398975,-3.00747906678,-3.40149809183,-0.0210437741908,-0.0659974976756,0.0600904885059,0.0289836016674,0.0167071824552,0.0604790574486
5,10500,22018.2217694,0,13.734286313,16011.96794,127228890.031,dropped_horizon_backward,1,18275878.628,16481.778118,16069.1561405,16017.8937805,25267.1408663,49880.1687226,32133.5494965,53943173.2401,104870969.36,229077.965116,21621105.6864,16602.6698253,16084.6731688,16022.5270626,26908.3022656,62966.2189694,37826.0809939,64959820.9265,127135351.962,300681.66824,1.3099476785,-2.15778656076,-3.00801577868,-3.39948461588,-0.0143867084002,-0.0470276978282,0.0745194183756,0.028533410584,0.0166562445413,0.0673714729612
6,10600,20356.5392412,0,13.7714525488,16014.1788464,148038996.255,dropped_horizon_backward,1,21621105.6864,16602.6698253,16084.6731688,16022.5270626,26908.3022656,62966.2189694,37826.0809939,64959820.9265,127135351.962,300681.66824,25149313.7916,16674.8853742,16102.0131791,16027.1217311,28523.1020936,73870.9466872,42482.762462,75823604.1771,147921421.877,350185.282614,1.31129889683,-2.15852234244,-3.00886588391,-3.39929405494,-0.0138567378327,-0.0379662250097,0.0736942735006,0.0288381200004,0.0168223873415,0.0793974234143
7,10700,22384.5979402,0,13.8323570385,16015.616085,170712507.504,dropped_horizon_backward,1,25149313.7916,16674.8853742,16102.0131791,16027.1217311,28523.1020936,73870.9466872,42482.762462,75823604.1771,147921421.877,350185.282614,28978884.6749,16757.1534318,16117.258096,16030.9080148,29846.073895,83355.8431769,46344.0055917,87562013.9259,170573771.057,405463.431796,1.31350528027,-2.15708115042,-3.00717604199,-3.39811974673,-0.00527183441428,-0.0467882537532,0.076572707896,0.0281172969448,0.0166077153297,0.0627811797771
8,10800,24658.9969798,0,13.8256512307,16018.6185073,193541976.09,dropped_horizon_backward,1,28978884.6749,16757.1534318,16117.258096,16030.9080148,29846.073895,83355.8431769,46344.0055917,87562013.9259,170573771.057,405463.431796,32324370.126,16835.260604,16136.3527069,16036.5926027,31709.8883797,98242.5409238,52610.5119097,98348035.7814,193396355.742,458835.976003,1.3132628258,-2.15680990724,-3.0080118083,-3.3972188785,-0.00334968717502,-0.0528377288772,0.09356187769,0.0280275777212,0.0169089306732,0.0697539443736
9,10900,19925.0956692,0,13.8574225118,16022.3702061,214751037.602,dropped_horizon_backward,1,32324370.126,16835.260604,16136.3527069,16036.5926027,31709.8883797,98242.5409238,52610.5119097,98348035.7814,193396355.742,458835.976003,35920462.5145,16929.6633053,16153.0701526,16041.3158959,33326.240736,107904.088469,58770.4454568,109325119.684,214601704.758,485528.920021,1.31441050525,-2.15869420052,-3.00983491496,-3.39693513028,-0.00943937182961,-0.0477708529719,0.0910459277994,0.0281153262252,0.0169936194798,0.0813263601603
10,11000,20721.9818203,0,13.8848149114,16024.4799397,236408413.809,dropped_horizon_backward,1,35920462.5145,16929.6633053,16153.0701526,16041.3158959,33326.240736,107904.088469,58770.4454568,109325119.684,214601704.758,485528.920021,39711961.6046,17021.4274683,16161.1823228,16044.4466407,34540.2440026,116302.853427,64901.4759732,120754933.145,236247922.911,513103.097575,1.31539789528,-2.15579152533,-3.00800233271,-3.39546412989,0.00380098584993,-0.0573568658816,0.0984332926565,0.027729976974,0.016622443505,0.0684006560747
11,11100,21738.4282211,0,13.8836369223,16029.1584943,258919344.064,dropped_horizon_backward,1,39711961.6046,17021.4274683,16161.1823228,16044.4466407,34540.2440026,116302.853427,64901.4759732,120754933.145,236247922.911,513103.097575,43079629.0927,17122.8983252,16177.9805407,16049.8479616,36201.1864963,130875.580261,71339.4785425,131894923.71,258729453.67,586948.972442,1.31535547343,-2.15730244817,-3.00808479707,-3.39296982115,0.0047969136951,-0.0479046269948,0.101908576599,0.0276140910108,0.0166119855206,0.0697927696445
