window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,information_forgetting_factor,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
0,1600,90770.7221131,0,18.9400306903,16000.0383252,40845287.4375,dropped_horizon_backward,1,656000,16000,16000,16000,16000,16000,16000,16000,16000,16000,6245604.15839,16937.1454319,16060.6666054,16036.1835161,23680.3945532,214472.399382,83612.1437954,23418640.9982,40756629.0502,113682.689397,1.47063885408,-2.19371637902,-3.00723849154,-3.40124177078,0.00385212843584,0.135825467083,0.0236839833343,0.0162624874444,0.00302564588653,-0.110771602575
1,1700,14139.520225,0,20.0432374473,16000.2071505,66330718.4589,dropped_horizon_backward,1,6245604.15839,16937.1454319,16060.6666054,16036.1835161,23680.3945532,214472.399382,83612.1437954,23418640.9982,40756629.0502,113682.689397,12143202.107,18170.7460039,16082.5348983,16084.1918413,30667.2121498,283123.864836,118827.328678,40303810.4143,66131018.8629,394741.454118,1.49894590622,-2.20556107144,-3.0062842578,-3.41386490234,0.00227043315231,0.11367177635,0.0185884844971,0.0203570160548,0.01225945136,0.206127803292
2,1800,11450.7921298,0,20.4181961256,16001.3790662,102851516.736,dropped_horizon_backward,1,12143202.107,18170.7460039,16082.5348983,16084.1918413,30667.2121498,283123.864836,118827.328678,40303810.4143,66131018.8629,394741.454118,18049910.1328,19054.9235711,16101.9370233,16106.1563128,39798.101329,326398.282236,157357.841885,61100211.4692,102659703.96,478396.265875,1.50821323511,-2.20357053137,-3.00631023068,-3.41409020356,-0.00810322997734,0.101563246215,0.0193549646843,0.0137427036023,0.00854581976925,0.132498876332
3,1900,8651.34144159,0,20.5869756534,16004.3558231,140835900.762,dropped_horizon_backward,1,18049910.1328,19054.9235711,16101.9370233,16106.1563128,39798.101329,326398.282236,157357.841885,61100211.4692,102659703.96,478396.265875,24562882.9111,20012.3073757,16131.5872204,16128.6783019,51178.491893,373894.594015,190104.527353,83558312.5001,140683128.043,522733.860861,1.512329313,-2.1945853612,-3.00641023962,-3.41053768608,-0.015245150011,0.0968655412774,0.0218625047062,0.0127225564094,0.00806148993846,0.120186591858
4,2000,8564.72266995,0,20.7037692098,16005.0958859,172137235.66,dropped_horizon_backward,1,24562882.9111,20012.3073757,16131.5872204,16128.6783019,51178.491893,373894.594015,190104.527353,83558312.5001,140683128.043,522733.860861,30558975.1881,21068.827211,16154.540447,16150.0832102,59720.4708371,405630.038299,222320.679799,102738414.837,172056501.841,636473.828189,1.51515788556,-2.21064068126,-3.00660546695,-3.41510538465,-0.0028661018757,0.0945722087434,0.016688980002,0.0127150866992,0.00804496274554,0.153441125001
5,2100,8908.31869337,0,20.7815667237,16005.9238444,208061834.411,dropped_horizon_backward,1,30558975.1881,21068.827211,16154.540447,16150.0832102,59720.4708371,405630.038299,222320.679799,102738414.837,172056501.841,636473.828189,36536717.5941,21866.7930143,16174.2038779,16169.4620647,68799.1025416,436386.779996,252224.95771,123676737.729,207989729.161,736200.516396,1.51703318929,-2.21149167291,-3.00686203426,-3.41210743197,-0.00806226422474,0.093096247107,0.0172107161662,0.0118389639632,0.00803988603037,0.139671468341
6,2200,7289.54798525,0,20.8548270475,16008.5036881,246387187.771,dropped_horizon_backward,1,36536717.5941,21866.7930143,16174.2038779,16169.4620647,68799.1025416,436386.779996,252224.95771,123676737.729,207989729.161,736200.516396,42980657.338,22634.6118299,16205.5007401,16187.3578134,77398.8910411,482868.766792,278578.969811,145744261.491,246288352.656,823779.463065,1.51879271726,-2.2014013315,-3.00676923064,-3.40928658503,-0.0196303299818,0.0881452559052,0.0191898374006,0.0114785307107,0.00779234469126,0.124226542953
7,2300,7974.25300813,0,20.9030208063,16010.6125657,279850620.783,dropped_horizon_backward,1,42980657.338,22634.6118299,16205.5007401,16187.3578134,77398.8910411,482868.766792,278578.969811,145744261.491,246288352.656,823779.463065,49173547.4406,24054.7525076,16237.0073191,16220.9603283,88095.5894842,534760.249411,302821.725392,165121736.686,279706215.209,1089070.76319,1.51994684236,-2.2397654043,-3.00823172227,-3.41663865002,-0.00531452267105,0.0746654014793,0.0120169025435,0.0120118806234,0.00852451772163,0.158112760527
8,2400,9572.49285634,0,20.9503629696,16013.4301929,317133414.889,dropped_horizon_backward,1,49173547.4406,24054.7525076,16237.0073191,16220.9603283,88095.5894842,534760.249411,302821.725392,165121736.686,279706215.209,1089070.76319,55174325.8016,25014.933935,16265.0130617,16243.4201457,102517.771098,571801.103903,334065.055833,186098110.021,316970626.366,1167096.52155,1.52107798587,-2.24478566436,-3.00732971423,-3.41768352663,-0.0103853869579,0.07369121623,0.012928484516,0.0113217242166,0.00805389557636,0.144625836256
9,2500,6644.31832221,0,20.9650564939,16016.9800113,353824507.895,dropped_horizon_backward,1,55174325.8016,25014.933935,16265.0130617,16243.4201457,102517.771098,571801.103903,334065.055833,186098110.021,316970626.366,1167096.52155,61805757.6341,25779.9750547,16291.1209415,16261.2305655,117435.478993,605353.400241,359563.56374,208585971.11,353677038.829,1222336.2892,1.52142853765,-2.2425395585,-3.00724331311,-3.41601111634,-0.019893544331,0.0715148141259,0.0155340458053,0.0112786068216,0.0079505125696,0.140025039323
