window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
0,200,12132.5328233,0,6.94619877975,16000.0000825,693535.089481,dropped_horizon_backward,656000,16000,16000,16000,16000,16000,16000,16000,16000,16000,691112.023359,17645.3032935,16000.5600669,16015.9270677,26827.8456419,19854.0509308,16073.5125189,340267.125276,527626.844897,79343.1781407,0.969097285893,-2.18164994626,-3.00665606486,-3.38204305513,0.00389791723612,0.00267582366189,-0.00544686669867,0.0887093002101,0.000423538649746,-0.106541747387
1,220,11788.8172741,0,7.45604843313,16000.0183419,4959297.33044,dropped_horizon_backward,691112.023359,17645.3032935,16000.5600669,16015.9270677,26827.8456419,19854.0509308,16073.5125189,340267.125276,527626.844897,79343.1781407,1162581.69507,17910.866001,16001.0133731,16018.897876,29443.2084701,20614.5324301,16077.8467207,3544631.03589,4959150.21935,114118.726282,1.00451278661,-2.24866766039,-3.00663804695,-3.38867862479,0.00371192994186,0.0004814084643,-0.00148719664769,0.041473159118,-6.83990459904e-06,-0.0425948520667
2,240,22389.4391322,0,8.32174978045,16000.0423418,9222408.02445,dropped_horizon_backward,1162581.69507,17910.866001,16001.0133731,16018.897876,29443.2084701,20614.5324301,16077.8467207,3544631.03589,4959150.21935,114118.726282,1668986.49795,18155.1850241,16001.0828081,16021.5118308,31151.2206868,21192.8748691,16079.9110765,6772734.3347,9221136.09625,139489.418177,1.05943627144,-2.26405853971,-3.00661703133,-3.39021354747,0.0117404958324,0.00126703373694,0.000438963507429,0.0296377512843,-0.00047080602854,-0.0755363171836
3,260,15493.3805375,0,8.71585628855,16000.0466853,11274399.4797,dropped_horizon_backward,1668986.49795,18155.1850241,16001.0828081,16021.5118308,31151.2206868,21192.8748691,16079.9110765,6772734.3347,9221136.09625,139489.418177,1924263.77257,18156.5081572,16001.1087967,16021.5281037,31174.0004834,21195.3839068,16080.7139114,8204959.42578,11273318.7694,139927.986963,1.08257196436,-2.25963169492,-3.00661584328,-3.38973066677,0.0133587087538,0.00103849971047,0.00082508930241,0.026037568544,-0.000469092485441,-0.0701530476194
4,280,9853.11932708,0,8.88111351726,16000.0632645,12455072.4395,dropped_horizon_backward,1924263.77257,18156.5081572,16001.1087967,16021.5281037,31174.0004834,21195.3839068,16080.7139114,8204959.42578,11273318.7694,139927.986963,2072147.42569,18194.3025126,16001.3063067,16021.8602594,31629.1592046,21294.445202,16080.9353866,8971043.84043,12454345.3354,143096.373872,1.09196347262,-2.25598158965,-3.00660820443,-3.38934996191,0.0168217812411,0.000952551491491,0.00120727480363,0.0244148805405,-0.00044301610498,-0.058889573877
5,300,30.0316273986,18.1174871356,8.95941384288,16000.0789044,13802094.7605,dropped_horizon_backward,2072147.42569,18194.3025126,16001.3063067,16021.8602594,31629.1592046,21294.445202,16080.9353866,8971043.84043,12454345.3354,143096.373872,2239263.44054,18221.6609881,16001.3087018,16022.1683664,31881.7509662,21381.6021503,16083.7953686,9824836.40363,13801609.7088,147927.061628,1.09635240276,-2.25222636912,-3.0066134309,-3.38893441546,0.0187226401261,0.00066811967434,0.00161989653189,0.0231213668592,-0.000381113400364,-0.0474325065299
6,320,5568.56371109,0,9.01641962102,16003.1724294,16347949.3962,dropped_horizon_backward,2239263.44054,18221.6609881,16001.3087018,16022.1683664,31881.7509662,21381.6021503,16083.7953686,9824836.40363,13801609.7088,147927.061628,2454912.52786,18238.2709392,17518.7755315,16369.099979,93854.9143471,26241.5154905,48862.0436713,10930812.661,16324622.1025,1091190.93517,1.09952365874,-2.2537258253,-3.03198170318,-3.40143423264,0.0188987599402,0.00733817081607,-0.0060405094506,0.0231364606377,-0.000473579134612,-0.0106342000165
7,340,5638.06129787,0,9.05629031475,16011.4583783,19222955.5922,dropped_horizon_backward,2454912.52786,18238.2709392,17518.7755315,16369.099979,93854.9143471,26241.5154905,48862.0436713,10930812.661,16324622.1025,1091190.93517,2698094.27121,18246.1881467,18382.4788055,16573.8409647,159696.08816,27298.1766441,74472.1589316,12116328.6291,19188742.2411,1925769.59427,1.10172978934,-2.25289968612,-3.04485082402,-3.40792140512,0.0148758574837,0.00652648253136,0.00751989763379,0.0226556725595,-0.00126159515971,-0.0239102376886
8,360,6046.29980037,0,9.18631500929,16036.4360466,20917968.1832,dropped_horizon_backward,2698094.27121,18246.1881467,18382.4788055,16573.8409647,159696.08816,27298.1766441,74472.1589316,12116328.6291,19188742.2411,1925769.59427,2914168.78922,18246.4284631,18932.983808,16723.6056185,203198.821285,60753.7926801,96562.3723098,13136254.1711,20785888.0366,3916756.86534,1.10885743882,-2.25298629609,-3.05147829345,-3.41178893574,0.0131996037535,-0.0137777636339,-0.00055380956121,0.0218885000397,-0.000990812043853,-0.0119097196179
9,380,4537.10676306,0,9.25472096472,16036.5430552,21822756.0198,dropped_horizon_backward,2914168.78922,18246.4284631,18932.983808,16723.6056185,203198.821285,60753.7926801,96562.3723098,13136254.1711,20785888.0366,3916756.86534,3125849.6673,18247.698539,18936.8210386,16724.591589,203469.864304,60791.6003519,96679.9725927,14137500.7567,21516957.6999,4792842.37897,1.11256689795,-2.25312009836,-3.05278619159,-3.41238645143,0.0133834258598,-0.0145654803011,-0.00122667819037,0.0216954218774,-0.00102450451126,-0.0114434746566
